Lot_name,Lot_link,Current_price,Buy_now_price,Start_time,End_time
No_lot_name.,http://japanparcel.com/ylot/w104507413,No_current_price.,No_buy_now_price .,No_start_time.,No_end_time.
No_lot_name.,http://japanparcel.com/ylot/p104811147,No_current_price.,No_buy_now_price .,No_start_time.,No_end_time.
No_lot_name.,http://japanparcel.com/ylot/q101997449,No_current_price.,No_buy_now_price .,No_start_time.,No_end_time.
No_lot_name.,http://japanparcel.com/ylot/v104735800,No_current_price.,No_buy_now_price .,No_start_time.,No_end_time.
No_lot_name.,http://japanparcel.com/ylot/s104636086,No_current_price.,No_buy_now_price .,No_start_time.,No_end_time.
No_lot_name.,http://japanparcel.com/ylot/f102371840,No_current_price.,No_buy_now_price .,No_start_time.,No_end_time.
No_lot_name.,http://japanparcel.com/ylot/f104622463,No_current_price.,No_buy_now_price .,No_start_time.,No_end_time.
No_lot_name.,http://japanparcel.com/ylot/v104509754,No_current_price.,No_buy_now_price .,No_start_time.,No_end_time.
No_lot_name.,http://japanparcel.com/ylot/q102054114,No_current_price.,No_buy_now_price .,No_start_time.,No_end_time.
No_lot_name.,http://japanparcel.com/ylot/v104793905,No_current_price.,No_buy_now_price .,No_start_time.,No_end_time.
No_lot_name.,http://japanparcel.com/ylot/q104736597,No_current_price.,No_buy_now_price .,No_start_time.,No_end_time.
No_lot_name.,http://japanparcel.com/ylot/t104390380,No_current_price.,No_buy_now_price .,No_start_time.,No_end_time.
No_lot_name.,http://japanparcel.com/ylot/r103749334,No_current_price.,No_buy_now_price .,No_start_time.,No_end_time.
No_lot_name.,http://japanparcel.com/ylot/r104508358,No_current_price.,No_buy_now_price .,No_start_time.,No_end_time.
No_lot_name.,http://japanparcel.com/ylot/m104731105,No_current_price.,No_buy_now_price .,No_start_time.,No_end_time.
No_lot_name.,http://japanparcel.com/ylot/b104735338,No_current_price.,No_buy_now_price .,No_start_time.,No_end_time.
No_lot_name.,http://japanparcel.com/ylot/v104748255,No_current_price.,No_buy_now_price .,No_start_time.,No_end_time.
"Postage  Body , second hand  Vacuum tube ,TEN Made by 3AU6 one  Book  so , tv set  ball ,",http://japanparcel.com/ylot/e145847869,￥500,No_buy_now_price .,04/16/2022 22:51,04/20/2022 11:51
No_lot_name.,http://japanparcel.com/ylot/h103540089,No_current_price.,No_buy_now_price .,No_start_time.,No_end_time.
No_lot_name.,http://japanparcel.com/ylot/b104633115,No_current_price.,No_buy_now_price .,No_start_time.,No_end_time.
No_lot_name.,http://japanparcel.com/ylot/x104793673,No_current_price.,No_buy_now_price .,No_start_time.,No_end_time.
No_lot_name.,http://japanparcel.com/ylot/h104734742,No_current_price.,No_buy_now_price .,No_start_time.,No_end_time.
No_lot_name.,http://japanparcel.com/ylot/o104791626,No_current_price.,No_buy_now_price .,No_start_time.,No_end_time.
? YAMAHA  Yamaha  AV Amplifier   Audio instrument   Remote controller  With гЂЂ Power Amplifier  DSP-AX430  Energization  Confirmation  Already  ? 7449-MM1,http://japanparcel.com/ylot/b543669468,"￥12,000",No_buy_now_price .,04/17/2022 00:27,04/20/2022 11:52
No_lot_name.,http://japanparcel.com/ylot/p104797520,No_current_price.,No_buy_now_price .,No_start_time.,No_end_time.
No_lot_name.,http://japanparcel.com/ylot/m100136069,No_current_price.,No_buy_now_price .,No_start_time.,No_end_time.
No_lot_name.,http://japanparcel.com/ylot/x104660781,No_current_price.,No_buy_now_price .,No_start_time.,No_end_time.
No_lot_name.,http://japanparcel.com/ylot/p104736683,No_current_price.,No_buy_now_price .,No_start_time.,No_end_time.
No_lot_name.,http://japanparcel.com/ylot/k104730609,No_current_price.,No_buy_now_price .,No_start_time.,No_end_time.
No_lot_name.,http://japanparcel.com/ylot/g104154965,No_current_price.,No_buy_now_price .,No_start_time.,No_end_time.
No_lot_name.,http://japanparcel.com/ylot/c104736661,No_current_price.,No_buy_now_price .,No_start_time.,No_end_time.
No_lot_name.,http://japanparcel.com/ylot/t104758189,No_current_price.,No_buy_now_price .,No_start_time.,No_end_time.
No_lot_name.,http://japanparcel.com/ylot/h104757687,No_current_price.,No_buy_now_price .,No_start_time.,No_end_time.
No_lot_name.,http://japanparcel.com/ylot/104759766,No_current_price.,No_buy_now_price .,No_start_time.,No_end_time.
No_lot_name.,http://japanparcel.com/ylot/o104760225,No_current_price.,No_buy_now_price .,No_start_time.,No_end_time.
No_lot_name.,http://japanparcel.com/ylot/g103635758,No_current_price.,No_buy_now_price .,No_start_time.,No_end_time.
No_lot_name.,http://japanparcel.com/ylot/f104605029,No_current_price.,No_buy_now_price .,No_start_time.,No_end_time.
No_lot_name.,http://japanparcel.com/ylot/h103455397,No_current_price.,No_buy_now_price .,No_start_time.,No_end_time.
No_lot_name.,http://japanparcel.com/ylot/x104736940,No_current_price.,No_buy_now_price .,No_start_time.,No_end_time.
